il_basin_shapes_GenerateNear2.OBJECTID,il_basin_shapes_GenerateNear2.IN_FID,il_basin_shapes_GenerateNear2.NEAR_FID,il_basin_shapes_GenerateNear2.NEAR_DIST,il_basin_shapes_GenerateNear2.NEAR_RANK,il_basin_shapes.FID,il_basin_shapes.gauge_id,IMS_stations_lla_XYTableToPoint1.OBJECTID,IMS_stations_lla_XYTableToPoint1.stationId,IMS_stations_lla_XYTableToPoint1.latitude,IMS_stations_lla_XYTableToPoint1.longitude
1,0,8,0,1,0,il_17110,8,20,32.166,35.099
2,0,9,0,1,0,il_17110,9,21,32.106,35.212
3,0,73,0,1,0,il_17110,73,242,32.1056,35.2114
4,0,78,0,1,0,il_17110,78,247,32.1752,35.0959
5,0,88,0,1,0,il_17110,88,270,32.127,35.026
6,1,73,202.223384859408,1,1,il_17117,73,242,32.1056,35.2114
7,1,9,271.973250613557,2,1,il_17117,9,21,32.106,35.212
8,1,92,2730.1489820606,3,1,il_17117,92,277,32.1598,35.3513
9,1,93,3091.13352954666,4,1,il_17117,93,278,31.9449,35.1499
10,1,42,3354.63301257506,5,1,il_17117,42,90,32.166,35.349
11,2,85,0,1,2,il_17144,85,259,31.834,34.961
12,2,97,0,1,2,il_17144,97,282,31.8341,34.9616
13,2,96,2793.40914329576,2,2,il_17144,96,281,31.7878,35.1258
14,2,12,6104.57677039516,3,2,il_17144,12,24,31.933,35.15
15,2,93,7264.58135484042,4,2,il_17144,93,278,31.9449,35.1499
16,3,12,0,1,3,il_17155,12,24,31.933,35.15
17,3,93,0,1,3,il_17155,93,278,31.9449,35.1499
18,3,62,8992.2080411069,2,3,il_17155,62,212,32.0073,34.8138
19,3,28,9017.45038068861,3,3,il_17155,28,54,32.009,34.814
20,3,96,9078.04299244431,4,3,il_17155,96,281,31.7878,35.1258
21,4,88,9037.81664656776,1,4,il_17162,88,270,32.127,35.026
22,4,93,9130.9799269279,2,4,il_17162,93,278,31.9449,35.1499
23,4,28,9293.13533215456,3,4,il_17162,28,54,32.009,34.814
24,4,62,9312.39600225561,4,4,il_17162,62,212,32.0073,34.8138
25,5,12,0,1,5,il_17164,12,24,31.933,35.15
26,5,85,0,1,5,il_17164,85,259,31.834,34.961
27,5,93,0,1,5,il_17164,93,278,31.9449,35.1499
28,5,97,0,1,5,il_17164,97,282,31.8341,34.9616
29,5,96,2793.40939213539,2,5,il_17164,96,281,31.7878,35.1258
30,6,12,0,1,6,il_17168,12,24,31.933,35.15
31,6,28,0,1,6,il_17168,28,54,32.009,34.814
32,6,62,0,1,6,il_17168,62,212,32.0073,34.8138
33,6,85,0,1,6,il_17168,85,259,31.834,34.961
34,6,93,0,1,6,il_17168,93,278,31.9449,35.1499
35,7,73,202.223300011602,1,7,il_17123,73,242,32.1056,35.2114
36,7,9,271.973163310766,2,7,il_17123,9,21,32.106,35.212
37,7,92,2730.14882377711,3,7,il_17123,92,277,32.1598,35.3513
38,7,93,3091.13297515115,4,7,il_17123,93,278,31.9449,35.1499
39,7,42,3354.63286584873,5,7,il_17123,42,90,32.166,35.349
40,8,8,0,1,8,il_17135,8,20,32.166,35.099
41,8,9,0,1,8,il_17135,9,21,32.106,35.212
42,8,73,0,1,8,il_17135,73,242,32.1056,35.2114
43,8,78,0,1,8,il_17135,78,247,32.1752,35.0959
44,8,88,0,1,8,il_17135,88,270,32.127,35.026
45,9,131,16.6037640204451,1,9,il_12130,131,317,32.6028,35.0964
46,9,34,2045.28414812309,2,9,il_12130,34,67,32.633,35.099
47,9,128,3332.68411552396,3,9,il_12130,128,314,32.5724,34.9546
48,9,26,4085.95995696209,4,9,il_12130,26,45,32.566,34.95
49,9,127,8491.83120747332,5,9,il_12130,127,313,32.6808,34.9594
50,10,128,0,1,10,il_12140,128,314,32.5724,34.9546
51,10,131,16.6036961246501,2,10,il_12140,131,317,32.6028,35.0964
52,10,26,502.920279088347,3,10,il_12140,26,45,32.566,34.95
53,10,34,2045.28387540157,4,10,il_12140,34,67,32.633,35.099
54,10,127,6596.86995639443,5,10,il_12140,127,313,32.6808,34.9594
55,11,131,1512.67301502169,1,11,il_13105,131,317,32.6028,35.0964
56,11,128,3982.74269115618,2,11,il_13105,128,314,32.5724,34.9546
57,11,26,4431.2121435578,3,11,il_13105,26,45,32.566,34.95
58,11,34,4733.33918170239,4,11,il_13105,34,67,32.633,35.099
59,12,131,5961.84733606514,1,12,il_13125,131,317,32.6028,35.0964
60,12,26,6280.96907245979,2,12,il_13125,26,45,32.566,34.95
61,12,128,6478.86971352007,3,12,il_13125,128,314,32.5724,34.9546
62,12,34,9317.23319678852,4,12,il_13125,34,67,32.633,35.099
63,13,131,7278.53072226977,1,13,il_13135,131,317,32.6028,35.0964
64,13,26,8293.21416173945,2,13,il_13135,26,45,32.566,34.95
65,13,128,8457.6410639278,3,13,il_13135,128,314,32.5724,34.9546
66,14,26,5918.1694420972,1,14,il_13146,26,45,32.566,34.95
67,14,131,5961.84725612899,2,14,il_13146,131,317,32.6028,35.0964
68,14,128,6466.21603500128,3,14,il_13146,128,314,32.5724,34.9546
69,14,27,7851.60302288246,4,14,il_13146,27,46,32.474,34.883
70,14,129,8017.89285720004,5,14,il_13146,129,315,32.4732,34.8815
71,15,131,8235.33857177524,1,15,il_14115,131,317,32.6028,35.0964
72,15,46,9733.05870144341,2,15,il_14115,46,107,32.388,34.938
73,15,77,9782.90408518254,3,15,il_14115,77,246,32.3877,34.9376
74,16,46,2828.2724893132,1,16,il_14120,46,107,32.388,34.938
75,16,77,2874.67709746412,2,16,il_14120,77,246,32.3877,34.9376
76,16,27,7610.91801606985,3,16,il_14120,27,46,32.474,34.883
77,16,129,7689.73188425013,4,16,il_14120,129,315,32.4732,34.8815
78,16,131,8235.33842179408,5,16,il_14120,131,317,32.6028,35.0964
79,17,46,0,1,17,il_15120,46,107,32.388,34.938
80,17,77,0,1,17,il_15120,77,246,32.3877,34.9376
81,17,78,3313.73158102612,2,17,il_15120,78,247,32.1752,35.0959
82,17,8,3609.59772071999,3,17,il_15120,8,20,32.166,35.099
83,17,129,7636.60252785673,4,17,il_15120,129,315,32.4732,34.8815
84,18,72,3679.06192207379,1,18,il_30145,72,241,33.241,35.57
85,18,149,3746.4005969988,2,18,il_30145,149,346,33.2404,35.5696
86,18,150,5144.67677981498,3,18,il_30145,150,348,33.23,35.6
87,18,154,5144.67677981498,3,18,il_30145,154,352,33.23,35.6
88,18,168,6912.26404978051,4,18,il_30145,168,498,33.2277,35.635
89,19,4,164.001035696104,1,19,il_30155,4,10,33.133,35.783
90,19,118,2175.49069469811,2,19,il_30155,118,303,33.1288,35.8045
91,19,137,3085.12803645104,3,19,il_30155,137,324,33.1716,35.6133
92,19,55,3204.30747800596,4,19,il_30155,55,202,33.173,35.613
93,19,168,7501.87626935333,5,19,il_30155,168,498,33.2277,35.635
94,20,155,1291.6658835911,1,20,il_30165,155,353,33.0244,35.5735
95,20,156,1291.6658835911,1,20,il_30165,156,354,33.0244,35.5735
96,20,31,5574.35646495435,2,20,il_30165,31,62,32.982,35.507
97,20,113,8265.72567681246,3,20,il_30165,113,298,32.956,35.3287
98,20,87,8314.90203882362,4,20,il_30165,87,269,32.956,35.328
99,21,155,362.160760684267,1,21,il_30170,155,353,33.0244,35.5735
100,21,156,362.160760684267,1,21,il_30170,156,354,33.0244,35.5735
101,21,31,882.173588630554,2,21,il_30170,31,62,32.982,35.507
102,21,135,8254.64742818906,3,21,il_30170,135,322,32.915,35.5135
103,21,50,8333.35489617831,4,21,il_30170,50,123,32.916,35.533
104,22,55,0,1,22,il_30175,55,202,33.173,35.613
105,22,72,0,1,22,il_30175,72,241,33.241,35.57
106,22,137,0,1,22,il_30175,137,324,33.1716,35.6133
107,22,149,0,1,22,il_30175,149,346,33.2404,35.5696
108,22,150,0,1,22,il_30175,150,348,33.23,35.6
109,23,31,0,1,23,il_31110,31,62,32.982,35.507
110,23,135,290.627074976973,2,23,il_31110,135,322,32.915,35.5135
111,23,50,1979.62033103143,3,23,il_31110,50,123,32.916,35.533
112,23,44,5259.0537379502,4,23,il_31110,44,99,32.863,35.374
113,23,133,5292.65046613512,5,23,il_31110,133,319,32.8621,35.3741
114,24,133,104.871451124478,1,24,il_31115,133,319,32.8621,35.3741
115,24,44,108.436124277802,2,24,il_31115,44,99,32.863,35.374
116,24,138,3189.83050292704,3,24,il_31115,138,325,32.8844,35.3015
117,24,56,3460.267573227,4,24,il_31115,56,205,32.883,35.299
118,24,113,4591.97697557832,5,24,il_31115,113,298,32.956,35.3287
119,25,118,2128.60210135609,1,25,il_31155,118,303,33.1288,35.8045
120,25,4,2840.6986302611,2,25,il_31155,4,10,33.133,35.783
121,25,2,3074.73555160497,3,25,il_31155,2,6,32.881,35.653
122,25,116,3212.71935546371,4,25,il_31155,116,301,32.88,35.6504
123,25,65,5712.95390315976,5,25,il_31155,65,227,32.907,35.748
124,26,2,1966.64589828452,1,26,il_31160,2,6,32.881,35.653
125,26,116,2095.6832704598,2,26,il_31160,116,301,32.88,35.6504
126,26,65,4155.39136379505,3,26,il_31160,65,227,32.907,35.748
127,26,139,4362.12318786332,4,26,il_31160,139,327,32.9052,35.7487
128,26,142,6919.37616154182,5,26,il_31160,142,330,32.8835,35.5792
129,27,65,0,1,27,il_31163,65,227,32.907,35.748
130,27,139,0,1,27,il_31163,139,327,32.9052,35.7487
131,27,2,1093.20416487434,2,27,il_31163,2,6,32.881,35.653
132,27,116,1352.03019924674,3,27,il_31163,116,301,32.88,35.6504
133,27,142,7562.9574239343,4,27,il_31163,142,330,32.8835,35.5792
134,28,1,0,1,28,il_31165,1,2,32.817,35.763
135,28,115,0,1,28,il_31165,115,300,32.8174,35.7622
136,28,139,3165.61040282185,2,28,il_31165,139,327,32.9052,35.7487
137,28,65,3353.92464632401,3,28,il_31165,65,227,32.907,35.748
