OBJECTID,Join_Count,TARGET_FID,JOIN_FID,gauge_id,ims_1,NEAR_DIST,NEAR_X,NEAR_Y,stationId,latitude,longitude,NEAR_FID,Shape_Length,Shape_Area
1,1,0,8,il_17110,0,-1,-1,-1,20,32.166,35.099,0,0.991498192914059,0.022809563580088
2,1,0,9,il_17110,0,-1,-1,-1,21,32.106,35.212,0,0.991498192914059,0.022809563580088
3,1,0,42,il_17110,0,-1,-1,-1,90,32.166,35.349,8,0.991498192914059,0.022809563580088
4,1,0,73,il_17110,0,-1,-1,-1,242,32.1056,35.2114,0,0.991498192914059,0.022809563580088
5,1,0,78,il_17110,0,-1,-1,-1,247,32.1752,35.0959,0,0.991498192914059,0.022809563580088
6,1,0,88,il_17110,0,-1,-1,-1,270,32.127,35.026,0,0.991498192914059,0.022809563580088
7,1,0,92,il_17110,0,-1,-1,-1,277,32.1598,35.3513,0,0.991498192914059,0.022809563580088
8,1,1,8,il_17117,0,-1,-1,-1,20,32.166,35.099,0,1.27243745055452,0.0350132380589765
9,1,1,9,il_17117,0,-1,-1,-1,21,32.106,35.212,0,1.27243745055452,0.0350132380589765
10,1,1,12,il_17117,0,-1,-1,-1,24,31.933,35.15,3,1.27243745055452,0.0350132380589765
11,1,1,42,il_17117,0,-1,-1,-1,90,32.166,35.349,8,1.27243745055452,0.0350132380589765
12,1,1,73,il_17117,0,-1,-1,-1,242,32.1056,35.2114,0,1.27243745055452,0.0350132380589765
13,1,1,78,il_17117,0,-1,-1,-1,247,32.1752,35.0959,0,1.27243745055452,0.0350132380589765
14,1,1,88,il_17117,0,-1,-1,-1,270,32.127,35.026,0,1.27243745055452,0.0350132380589765
15,1,1,92,il_17117,0,-1,-1,-1,277,32.1598,35.3513,0,1.27243745055452,0.0350132380589765
16,1,1,93,il_17117,0,-1,-1,-1,278,31.9449,35.1499,3,1.27243745055452,0.0350132380589765
17,1,2,10,il_17144,0,-1,-1,-1,22,31.771,35.197,31,0.915158605266047,0.0283773470711457
18,1,2,11,il_17144,0,-1,-1,-1,23,31.781,35.222,33,0.915158605266047,0.0283773470711457
19,1,2,12,il_17144,0,-1,-1,-1,24,31.933,35.15,3,0.915158605266047,0.0283773470711457
20,1,2,28,il_17144,0,-1,-1,-1,54,32.009,34.814,6,0.915158605266047,0.0283773470711457
21,1,2,37,il_17144,0,-1,-1,-1,75,31.716,34.966,33,0.915158605266047,0.0283773470711457
22,1,2,62,il_17144,0,-1,-1,-1,212,32.0073,34.8138,6,0.915158605266047,0.0283773470711457
23,1,2,79,il_17144,0,-1,-1,-1,248,31.7806,35.2217,33,0.915158605266047,0.0283773470711457
24,1,2,80,il_17144,0,-1,-1,-1,249,31.7704,35.1973,31,0.915158605266047,0.0283773470711457
25,1,2,85,il_17144,0,-1,-1,-1,259,31.834,34.961,2,0.915158605266047,0.0283773470711457
26,1,2,93,il_17144,0,-1,-1,-1,278,31.9449,35.1499,3,0.915158605266047,0.0283773470711457
27,1,2,96,il_17144,0,-1,-1,-1,281,31.7878,35.1258,33,0.915158605266047,0.0283773470711457
28,1,2,97,il_17144,0,-1,-1,-1,282,31.8341,34.9616,2,0.915158605266047,0.0283773470711457
29,1,2,103,il_17144,0,-1,-1,-1,288,31.7248,34.9762,33,0.915158605266047,0.0283773470711457
30,1,3,12,il_17155,0,-1,-1,-1,24,31.933,35.15,3,0.932036836855811,0.0233747040933483
31,1,3,93,il_17155,0,-1,-1,-1,278,31.9449,35.1499,3,0.932036836855811,0.0233747040933483
32,1,3,96,il_17155,0,-1,-1,-1,281,31.7878,35.1258,33,0.932036836855811,0.0233747040933483
33,1,4,88,il_17162,0,0.0816437430101,35.026,32.127,270,32.127,35.026,0,0.45144227118718,0.00864555788324099
34,1,5,10,il_17164,0,-1,-1,-1,22,31.771,35.197,31,1.27776201820274,0.0535222115754178
35,1,5,11,il_17164,0,-1,-1,-1,23,31.781,35.222,33,1.27776201820274,0.0535222115754178
36,1,5,12,il_17164,0,-1,-1,-1,24,31.933,35.15,3,1.27776201820274,0.0535222115754178
37,1,5,28,il_17164,0,-1,-1,-1,54,32.009,34.814,6,1.27776201820274,0.0535222115754178
38,1,5,37,il_17164,0,-1,-1,-1,75,31.716,34.966,33,1.27776201820274,0.0535222115754178
