il_basin_shape_G_ExportTable.OBJECTID,il_basin_shape_G_ExportTable.IN_FID,il_basin_shape_G_ExportTable.NEAR_FID,il_basin_shape_G_ExportTable.NEAR_DIST,il_basin_shape_G_ExportTable.NEAR_RANK,il_basin_shape_G_ExportTable.FROM_X,il_basin_shape_G_ExportTable.FROM_Y,il_basin_shape_G_ExportTable.NEAR_X,il_basin_shape_G_ExportTable.NEAR_Y,il_basin_shape_G_ExportTable.FID,il_basin_shape_G_ExportTable.gauge_id,IMS_stations_lla_pint.OBJECTID,IMS_stations_lla_pint.stationId,IMS_stations_lla_pint.latitude,IMS_stations_lla_pint.longitude
1,0,8,0,1,35.099,32.1660000000001,35.099,32.1660000000001,0,il_17110,8,20,32.166,35.099
2,0,9,0,1,35.212,32.1060000000001,35.212,32.1060000000001,0,il_17110,9,21,32.106,35.212
3,0,73,0,1,35.2114,32.1056,35.2114,32.1056,0,il_17110,73,242,32.1056,35.2114
4,0,78,0,1,35.0959,32.1752000000001,35.0959,32.1752000000001,0,il_17110,78,247,32.1752,35.0959
5,0,88,0,1,35.0260000000001,32.1270000000001,35.0260000000001,32.1270000000001,0,il_17110,88,270,32.127,35.026
6,0,92,0,1,35.3513,32.1598000000001,35.3513,32.1598000000001,0,il_17110,92,277,32.1598,35.3513
7,0,42,0.00120810754070779,2,35.3490810218807,32.1647946123924,35.349,32.1660000000001,0,il_17110,42,90,32.166,35.349
8,1,73,0.00192594220501532,1,35.2103394912472,32.1039923387912,35.2114,32.1056,1,il_17117,73,242,32.1056,35.2114
9,1,9,0.00259022472186308,2,35.2105737079846,32.1038378355298,35.212,32.1060000000001,1,il_17117,9,21,32.106,35.212
10,1,92,0.0249769941208285,3,35.3432985738292,32.136139327682,35.3513,32.1598000000001,1,il_17117,92,277,32.1598,35.3513
11,1,42,0.0304000988759763,4,35.3432985738292,32.136139327682,35.349,32.1660000000001,1,il_17117,42,90,32.166,35.349
12,1,93,0.0326792186988264,5,35.182541081849,31.946478325218,35.1499000000001,31.9449000000001,1,il_17117,93,278,31.9449,35.1499
13,1,12,0.0352219712478543,6,35.182541081849,31.946478325218,35.15,31.9330000000001,1,il_17117,12,24,31.933,35.15
14,1,88,0.0567961801155511,7,35.0315426016328,32.0704749113857,35.0260000000001,32.1270000000001,1,il_17117,88,270,32.127,35.026
15,1,8,0.0760056655860738,8,35.13731389703,32.1003577384945,35.099,32.1660000000001,1,il_17117,8,20,32.166,35.099
16,1,78,0.0855363956130628,9,35.13731389703,32.1003577384945,35.0959,32.1752000000001,1,il_17117,78,247,32.1752,35.0959
17,2,85,0,1,34.9610000000001,31.8340000000001,34.9610000000001,31.8340000000001,2,il_17144,85,259,31.834,34.961
18,2,97,0,1,34.9616,31.8341,34.9616,31.8341,2,il_17144,97,282,31.8341,34.9616
19,2,96,0.0276436589212627,2,35.1039212642126,31.8046965321561,35.1258,31.7878000000001,2,il_17144,96,281,31.7878,35.1258
20,2,12,0.0577027832222662,3,35.116880803469,31.8857482274118,35.15,31.9330000000001,2,il_17144,12,24,31.933,35.15
21,2,93,0.0677436309913676,4,35.116880803469,31.8857482274118,35.1499000000001,31.9449000000001,2,il_17144,93,278,31.9449,35.1499
22,2,103,0.071256165381252,5,34.9985608255753,31.7924567408648,34.9762000000001,31.7248000000001,2,il_17144,103,288,31.7248,34.9762
23,2,10,0.07598397998344,6,35.153337108422,31.8331861488852,35.1970000000001,31.7710000000001,2,il_17144,10,22,31.771,35.197
24,2,80,0.0766474808962024,7,35.153337108422,31.8331861488852,35.1973,31.7704000000001,2,il_17144,80,249,31.7704,35.1973
25,2,62,0.0819017845618644,8,34.8520374163426,31.9348720889031,34.8138000000001,32.0073,2,il_17144,62,212,32.0073,34.8138
26,2,37,0.083101387387906,9,34.9985608255753,31.7924567408648,34.9660000000001,31.7160000000001,2,il_17144,37,75,31.716,34.966
27,2,28,0.083317418620684,10,34.8520374163426,31.9348720889031,34.8140000000001,32.0090000000001,2,il_17144,28,54,32.009,34.814
28,2,11,0.0861650345753425,11,35.1552443507088,31.8354802392715,35.222,31.7810000000001,2,il_17144,11,23,31.781,35.222
29,2,79,0.0861869710873764,12,35.1552443507088,31.8354802392715,35.2217000000001,31.7806000000001,2,il_17144,79,248,31.7806,35.2217
30,3,12,0,1,35.15,31.9330000000001,35.15,31.9330000000001,3,il_17155,12,24,31.933,35.15
31,3,93,0,1,35.1499000000001,31.9449000000001,35.1499000000001,31.9449000000001,3,il_17155,93,278,31.9449,35.1499
32,3,96,0.0824081051649512,2,35.143860347167,31.8682047240969,35.1258,31.7878000000001,3,il_17155,96,281,31.7878,35.1258
33,4,88,0.0816437430101217,1,35.0351091365855,32.0458660095684,35.0260000000001,32.1270000000001,4,il_17162,88,270,32.127,35.026
34,5,12,0,1,35.15,31.9330000000001,35.15,31.9330000000001,5,il_17164,12,24,31.933,35.15
35,5,85,0,1,34.9610000000001,31.8340000000001,34.9610000000001,31.8340000000001,5,il_17164,85,259,31.834,34.961
36,5,93,0,1,35.1499000000001,31.9449000000001,35.1499000000001,31.9449000000001,5,il_17164,93,278,31.9449,35.1499
37,5,97,0,1,34.9616,31.8341,34.9616,31.8341,5,il_17164,97,282,31.8341,34.9616
38,5,96,0.0276436606783333,2,35.1039212655594,31.8046965367746,35.1258,31.7878000000001,5,il_17164,96,281,31.7878,35.1258
39,5,62,0.0518537331598502,3,34.8653850470089,32.0020281343232,34.8138000000001,32.0073,5,il_17164,62,212,32.0073,34.8138
40,5,28,0.0518558575969031,4,34.8653850470089,32.0020281343232,34.8140000000001,32.0090000000001,5,il_17164,28,54,32.009,34.814
41,5,103,0.0712561688503152,5,34.9985608296248,31.79245674318,34.9762000000001,31.7248000000001,5,il_17164,103,288,31.7248,34.9762
42,5,10,0.0759839785989099,6,35.1533371124778,31.8331861500412,35.1970000000001,31.7710000000001,5,il_17164,10,22,31.771,35.197
43,5,80,0.076647479516832,7,35.1533371124778,31.8331861500412,35.1973,31.7704000000001,5,il_17164,80,249,31.7704,35.1973
44,5,37,0.0831013911047052,8,34.9985608296248,31.79245674318,34.9660000000001,31.7160000000001,5,il_17164,37,75,31.716,34.966
45,5,11,0.0861650399081427,9,35.1552443466504,31.835480242733,35.222,31.7810000000001,5,il_17164,11,23,31.781,35.222
46,5,79,0.0861869764207579,10,35.1552443466504,31.835480242733,35.2217000000001,31.7806000000001,5,il_17164,79,248,31.7806,35.2217
47,6,12,0,1,35.15,31.9330000000001,35.15,31.9330000000001,6,il_17168,12,24,31.933,35.15
