gauge_id,ims_1,dist_1,ims_2,dist_2,ims_3,dist_3,ims_4,dist_4,ims_5,dist_5
il_17110,20,0.0,21,0.0,242,0.0,247,0.0,270,0.0
il_17117,242,202.223384859408,21,271.973250613557,277,2730.1489820606,278,3091.13352954666,90,3354.63301257506
il_17144,259,0.0,282,0.0,281,2793.40914329576,24,6104.57677039516,278,7264.58135484042
il_17155,24,0.0,278,0.0,212,8992.2080411069,54,9017.45038068861,281,9078.04299244431
il_17162,270,9037.81664656776,278,9130.9799269279,54,9293.13533215456,212,9312.39600225561,,
il_17164,24,0.0,259,0.0,278,0.0,282,0.0,281,2793.40939213539
il_17168,24,0.0,54,0.0,212,0.0,259,0.0,278,0.0
il_17123,242,202.223300011602,21,271.973163310766,277,2730.14882377711,278,3091.13297515115,90,3354.63286584873
il_17135,20,0.0,21,0.0,242,0.0,247,0.0,270,0.0
il_12130,317,16.6037640204451,67,2045.28414812309,314,3332.68411552396,45,4085.95995696209,313,8491.83120747332
il_12140,314,0.0,317,16.6036961246501,45,502.920279088347,67,2045.28387540157,313,6596.86995639443
il_13105,317,1512.67301502169,314,3982.74269115618,45,4431.2121435578,67,4733.33918170239,,
il_13125,317,5961.84733606514,45,6280.96907245979,314,6478.86971352007,67,9317.23319678852,,
il_13135,317,7278.53072226977,45,8293.21416173945,314,8457.6410639278,,,,
il_13146,45,5918.1694420972,317,5961.84725612899,314,6466.21603500128,46,7851.60302288246,315,8017.89285720004
il_14115,317,8235.33857177524,107,9733.05870144341,246,9782.90408518254,,,,
il_14120,107,2828.2724893132,246,2874.67709746412,46,7610.91801606985,315,7689.73188425013,317,8235.33842179408
il_15120,107,0.0,246,0.0,247,3313.73158102612,20,3609.59772071999,315,7636.60252785673
il_30145,241,3679.06192207379,346,3746.4005969988,348,5144.67677981498,352,5144.67677981498,498,6912.26404978051
il_30155,10,164.001035696104,303,2175.49069469811,324,3085.12803645104,202,3204.30747800596,498,7501.87626935333
il_30165,353,1291.6658835911,354,1291.6658835911,62,5574.35646495435,298,8265.72567681246,269,8314.90203882362
il_30170,353,362.160760684267,354,362.160760684267,62,882.173588630554,322,8254.64742818906,123,8333.35489617831
il_30175,202,0.0,241,0.0,324,0.0,346,0.0,348,0.0
il_31110,62,0.0,322,290.627074976973,123,1979.62033103143,99,5259.0537379502,319,5292.65046613512
