gauge_id,ims_1,dist_1,ims_2,dist_2,ims_3,dist_3,ims_4,dist_4,ims_5,dist_5
il_17110,20,0.0,21,0.0,242,0.0,247,0.0,270,0.0
il_17117,242,0.0019259422050153,21,0.002590224721863,277,0.0249769941208285,90,0.0304000988759763,278,0.0326792186988264
il_17144,259,0.0,282,0.0,281,0.0276436589212627,24,0.0577027832222662,278,0.0677436309913676
il_17155,24,0.0,278,0.0,281,0.0824081051649512,,,,
il_17162,270,0.0816437430101217,,,,,,,,
il_17164,24,0.0,259,0.0,278,0.0,282,0.0,281,0.0276436606783333
il_17168,24,0.0,54,0.0,212,0.0,259,0.0,278,0.0
il_17123,242,0.0019259413569191,21,0.0025902238365783,277,0.024976992593629,90,0.0304000974888707,278,0.0326792129570461
il_17135,20,0.0,21,0.0,242,0.0,247,0.0,270,0.0
il_12130,317,0.0001655726524345,67,0.0210422374631322,314,0.0341476619425472,45,0.0413010182247797,313,0.0797587340254081
il_12140,314,0.0,317,0.0001655720526683,45,0.0051011467393767,67,0.0210422342575188,313,0.0613238200673806
il_13105,317,0.0137084188368482,314,0.0423511061339832,67,0.0428180010117689,45,0.0471627881934832,,
il_13125,317,0.0539169785872631,45,0.0625452785054823,314,0.0632243812183485,67,0.0841962652406772,,
il_13135,317,0.0656536536249559,45,0.0796606745438542,314,0.0820149522843777,,,,
il_13146,317,0.0539169780343443,45,0.0544418949377533,314,0.0590399672118451,46,0.0807877334685301,315,0.082485111143099
il_14115,317,0.0782067367589174,,,,,,,,
il_14120,107,0.0296210056150206,246,0.0300889576877088,46,0.0774335808477547,317,0.0782067343710328,315,0.0782892220432801
il_15120,107,0.0,246,0.0,247,0.0343523742730002,20,0.035977711019005,46,0.07182594108399
il_30145,241,0.0331738475194654,346,0.0337839813181757,348,0.0469405711122093,352,0.0469405711122093,498,0.06759517022638
il_30155,10,0.001677154277963,303,0.0232118773797578,324,0.0311942499451745,202,0.0322278699755522,498,0.0693561177114944
il_30165,353,0.011648293013054,354,0.011648293013054,62,0.0515261041238842,298,0.0826330329603041,269,0.0831957881017859
il_30170,353,0.0033498969457801,354,0.0033498969457801,62,0.0080071155658926,322,0.074431499115089,123,0.0758052150370056
il_30175,202,0.0,499,0.0,354,0.0,353,0.0,352,0.0
il_31110,62,0.0,322,0.003082619046393,123,0.020053639588911,99,0.0547953667380717,319,0.0550308381542118
il_31115,319,0.0011196780522612,99,0.0011577523735959,325,0.0336529141712626,205,0.0364337573578584,298,0.0448778072942884
il_31155,303,0.0192547329547039,10,0.0264636328399902,6,0.0277584753412632,301,0.0291005721820171,227,0.058292109478614
il_31160,6,0.0177341822031241,301,0.01896348334654,227,0.0376031140148013,327,0.0394928999233731,330,0.073243420192825
il_31163,227,0.0,327,0.0,6,0.0108973737487997,301,0.013511652845982,300,0.0743209569545668
il_31165,2,0.0,300,0.0,327,0.0299885193183469,227,0.0319027903889886,301,0.0444691041367854
il_31198,2,0.0,499,0.0,498,0.0,354,0.0,352,0.0
il_34160,10,0.0,303,0.0,2,0.0114057383561428,300,0.0121507143781377,355,0.0371851798714366
il_18115,22,0.0,249,0.0,281,0.0021710200721908,248,0.0064841749193929,23,0.0069256222134811
il_18125,282,0.0235025199919789,259,0.0236812114524931,288,0.0490281410001344,75,0.059725025512649,287,0.0839768235898361
il_18131,22,0.0,75,0.0,249,0.0,281,0.0,288,0.0
il_18150,22,0.0,75,0.0,121,0.0,249,0.0,281,0.0
il_18178,121,0.0345746499225477,283,0.0356769493977438,259,0.0466046455037469,282,0.0471422110289799,284,0.0584673501032473
il_18180,22,0.0,75,0.0,121,0.0,249,0.0,281,0.0
il_19180,25,0.0,77,0.0,82,0.0,236,0.0,252,0.0
il_23137,28,0.0,188,0.0,240,0.0,292,0.0,293,0.0
il_19130,285,0.0059332326322448,236,0.0194089827503305,188,0.0354628941316149,25,0.0618546572274103,82,0.0622343787399267
il_19160,25,0.0,77,0.0,286,0.0,287,0.0,75,0.0099582281748778
il_19178,25,0.0,77,0.0,286,0.0,287,0.0,283,0.0061379922355166
il_2105,269,0.0,298,0.0,239,0.0169192834611427,73,0.0176779284704916,320,0.0242254092676525
il_21105,351,0.0098703198173738,59,0.085984135693824,,,,,,
il_21120,351,0.0,188,0.0500948331322363,350,0.0769696327966008,236,0.0779937911766454,,
il_21130,351,0.0,245,0.018007205288134,79,0.026384631550334,188,0.0500948355461297,236,0.0579112749950402
il_23134,293,0.0233212447364057,294,0.0327461944831508,411,0.03630965156331,412,0.03630965156331,112,0.0380588952119087
il_23150,28,0.0,480,0.0,412,0.0,411,0.0,381,0.0
il_23160,59,0.0,351,0.0059313346507579,293,0.0068037501921077,411,0.0086857260056131,412,0.0086857260056131
il_25191,271,0.0471081242902481,335,0.0517977761983207,381,0.0806132169872517,251,0.0838540563273946,98,0.084999364688538
il_30118,498,0.0438772966430266,499,0.0438772966430266,348,0.0751079457393716,352,0.0751079457393716,,
il_30120,498,0.0067409772802268,499,0.0067409772802268,348,0.0207811586878697,352,0.0207811586878697,241,0.0219174613397702
il_30122,498,0.0067409772802268,499,0.0067409772802268,348,0.0069767876506099,352,0.0069767876506099,241,0.0219174613397702
il_30125,498,0.0199312043054975,499,0.0199312043054975,348,0.0547604228529707,352,0.0547604228529707,202,0.0691282070598346
il_30128,498,0.0087805421188491,499,0.0087805421188491,348,0.0433531272305553,352,0.0433531272305553,202,0.0528095407983587
il_30131,498,0.0210726338358508,499,0.0210726338358508,348,0.0467267801983325,352,0.0467267801983325,241,0.0695276256198503
il_30136,241,0.0,348,0.0,352,0.0,498,0.0,499,0.0
il_23105,98,0.0038967935768169,251,0.0042728173956566,381,0.0189932737434209,480,0.0228893329431637,271,0.0379798101204024
il_23103,98,0.0603293123044742,251,0.0615948788460452,,,,,,
il_59185,295,0.0719310350494888,,,,,,,,
il_38175,257,0.0,380,0.0,443,0.0,224,0.0123730265420835,328,0.0123730265420835
il_4110,345,0.0415973301693092,239,0.04206613984046,73,0.0428052243842359,343,0.0450502667336956,269,0.0640848937365011
il_48125,210,0.0172673972987974,289,0.0176998872112005,248,0.0281230818856043,23,0.0284106979082903,249,0.0332895474418492
il_48130,286,0.0064398717957286,77,0.0065656649609684,210,0.0277890516557308,289,0.0350328389062545,249,0.0735829532890921
il_48185,29,0.0384040426456104,240,0.0391750955818176,,,,,,
il_48192,32,0.0169853608680921,240,0.0205246784856509,29,0.0214581882961055,,,,
il_5110,345,0.0,269,0.0010881419989963,298,0.0017873957597808,343,0.0033314522655709,325,0.0590897454947815
il_55106,265,0.0,379,0.0,296,0.0045821571095764,335,0.0104028580682176,271,0.0223523134043397
il_55140,265,0.0,271,0.0,335,0.0,379,0.0,296,0.0045232128787918
